"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Luxembourg","1995","All genders","Not applicable","Percent","65.99029"
"Luxembourg","1988","All genders","Not applicable","Percent","60.9687"
"Luxembourg","1988","Male","Not applicable","Percent","59.30861"
"Luxembourg","1988","Female","Not applicable","Percent","62.71658"
"Luxembourg","1987","Female","Not applicable","Percent","67.93246"
"Luxembourg","1987","Male","Not applicable","Percent","66.09054"
"Luxembourg","1987","All genders","Not applicable","Percent","66.98925"
"Luxembourg","1986","All genders","Not applicable","Percent","67.48609"
"Luxembourg","1986","Female","Not applicable","Percent","68.01826"
"Luxembourg","1986","Male","Not applicable","Percent","66.97718"
"Luxembourg","1984","Male","Not applicable","Percent","69.72007"
"Luxembourg","1984","Female","Not applicable","Percent","67.01135"
"Luxembourg","1984","All genders","Not applicable","Percent","68.38699"
"Luxembourg","1983","All genders","Not applicable","Percent","68.13388"
"Luxembourg","1983","Female","Not applicable","Percent","66.29177"
"Luxembourg","1983","Male","Not applicable","Percent","69.92362"
"Luxembourg","1982","Male","Not applicable","Percent","68.79521"
"Luxembourg","1982","Female","Not applicable","Percent","66.53994"
"Luxembourg","1982","All genders","Not applicable","Percent","67.68362"
"Luxembourg","1978","All genders","Not applicable","Percent","58.5089"
"Luxembourg","1977","All genders","Not applicable","Percent","57.35398"
"Luxembourg","1977","Female","Not applicable","Percent","57.77508"
"Luxembourg","1977","Male","Not applicable","Percent","56.94459"
"Luxembourg","1976","Male","Not applicable","Percent","55.88022"
"Luxembourg","1976","Female","Not applicable","Percent","56.76356"
"Luxembourg","1976","All genders","Not applicable","Percent","56.31505"
"Luxembourg","1975","All genders","Not applicable","Percent","55.41967"
"Luxembourg","1975","Female","Not applicable","Percent","56.40236"
"Luxembourg","1975","Male","Not applicable","Percent","54.4684"
"Macao Special Administrative Region of China","2014","All genders","Not applicable","Percent","78.36785"
"Macao Special Administrative Region of China","2014","Male","Not applicable","Percent","77.08696"
"Macao Special Administrative Region of China","2014","Female","Not applicable","Percent","79.73484"
"Macao Special Administrative Region of China","2013","Female","Not applicable","Percent","79.96615"
"Macao Special Administrative Region of China","2013","Male","Not applicable","Percent","76.633"
"Macao Special Administrative Region of China","2013","All genders","Not applicable","Percent","78.24857"
"Macao Special Administrative Region of China","2012","All genders","Not applicable","Percent","78.60729"
"Macao Special Administrative Region of China","2012","Male","Not applicable","Percent","77.16325"
"Macao Special Administrative Region of China","2012","Female","Not applicable","Percent","80.13672"
"Macao Special Administrative Region of China","2011","Female","Not applicable","Percent","80.30748"
"Macao Special Administrative Region of China","2011","Male","Not applicable","Percent","78.21898"
"Macao Special Administrative Region of China","2011","All genders","Not applicable","Percent","79.23645"
"Macao Special Administrative Region of China","2010","All genders","Not applicable","Percent","77.37534"
"Macao Special Administrative Region of China","2010","Male","Not applicable","Percent","76.3646"
"Macao Special Administrative Region of China","2010","Female","Not applicable","Percent","78.43029"
"Macao Special Administrative Region of China","2009","Female","Not applicable","Percent","78.00802"
"Macao Special Administrative Region of China","2009","Male","Not applicable","Percent","74.46269"
"Macao Special Administrative Region of China","2009","All genders","Not applicable","Percent","76.20466"
"Macao Special Administrative Region of China","2008","Male","Not applicable","Percent","75.69014"
"Macao Special Administrative Region of China","2008","All genders","Not applicable","Percent","76.95539"
"Macao Special Administrative Region of China","2008","Female","Not applicable","Percent","78.26067"
"Macao Special Administrative Region of China","2007","Female","Not applicable","Percent","82.16578"
"Macao Special Administrative Region of China","2007","All genders","Not applicable","Percent","80.444"
"Macao Special Administrative Region of China","2007","Male","Not applicable","Percent","78.78275"
"Macao Special Administrative Region of China","2006","Male","Not applicable","Percent","82.17523"
"Macao Special Administrative Region of China","2006","All genders","Not applicable","Percent","84.78321"
"Macao Special Administrative Region of China","2006","Female","Not applicable","Percent","87.52548"
"Macao Special Administrative Region of China","2005","Female","Not applicable","Percent","87.62461"
"Macao Special Administrative Region of China","2005","All genders","Not applicable","Percent","84.51611"
"Macao Special Administrative Region of China","2005","Male","Not applicable","Percent","81.56003"
"Macao Special Administrative Region of China","2004","Male","Not applicable","Percent","79.28476"
"Macao Special Administrative Region of China","2004","All genders","Not applicable","Percent","82.35931"
"Macao Special Administrative Region of China","2004","Female","Not applicable","Percent","85.58996"
"Macao Special Administrative Region of China","2003","Female","Not applicable","Percent","82.63564"
"Macao Special Administrative Region of China","2003","All genders","Not applicable","Percent","78.94554"
"Macao Special Administrative Region of China","2003","Male","Not applicable","Percent","75.43003"
"Macao Special Administrative Region of China","2002","Male","Not applicable","Percent","71.46009"
"Macao Special Administrative Region of China","2002","All genders","Not applicable","Percent","74.98155"
"Macao Special Administrative Region of China","2002","Female","Not applicable","Percent","78.67147"
"Macao Special Administrative Region of China","2001","All genders","Not applicable","Percent","71.44597"
"Macao Special Administrative Region of China","2001","Male","Not applicable","Percent","68.01144"
"Macao Special Administrative Region of China","2001","Female","Not applicable","Percent","75.03509"
"Macao Special Administrative Region of China","2000","Female","Not applicable","Percent","70.87026"
"Macao Special Administrative Region of China","2000","Male","Not applicable","Percent","66.37875"
"Macao Special Administrative Region of China","2000","All genders","Not applicable","Percent","68.60759"
"Macao Special Administrative Region of China","1999","All genders","Not applicable","Percent","65.13547"
"Macao Special Administrative Region of China","1999","Male","Not applicable","Percent","62.97147"
"Macao Special Administrative Region of China","1999","Female","Not applicable","Percent","67.29009"
"Macao Special Administrative Region of China","1992","Female","Not applicable","Percent","55.15117"
"Macao Special Administrative Region of China","1992","Male","Not applicable","Percent","50.25536"
"Macao Special Administrative Region of China","1992","All genders","Not applicable","Percent","52.69105"
"Macao Special Administrative Region of China","1990","All genders","Not applicable","Percent","47.19405"
"Macao Special Administrative Region of China","1990","Male","Not applicable","Percent","44.11851"
"Macao Special Administrative Region of China","1990","Female","Not applicable","Percent","50.22457"
"Madagascar","2014","Female","Not applicable","Percent","31.63484"
"Madagascar","2014","Male","Not applicable","Percent","30.52576"
"Madagascar","2014","All genders","Not applicable","Percent","31.08041"
"Madagascar","2012","All genders","Not applicable","Percent","30.92519"
"Madagascar","2012","Male","Not applicable","Percent","30.77499"
"Madagascar","2012","Female","Not applicable","Percent","31.07506"
"Madagascar","2011","Male","Not applicable","Percent","29.82604"
"Madagascar","2011","All genders","Not applicable","Percent","29.81233"
"Madagascar","2011","Female","Not applicable","Percent","29.79866"
"Madagascar","2009","Female","Not applicable","Percent","24.57556"
"Madagascar","2009","All genders","Not applicable","Percent","24.72134"
"Madagascar","2009","Male","Not applicable","Percent","24.86759"
"Madagascar","2008","Male","Not applicable","Percent","22.53776"
"Madagascar","2008","All genders","Not applicable","Percent","23.0425"
"Madagascar","2008","Female","Not applicable","Percent","23.54569"
"Madagascar","2007","Female","Not applicable","Percent","21.57485"
"Madagascar","2007","All genders","Not applicable","Percent","21.51884"
"Madagascar","2007","Male","Not applicable","Percent","21.46268"
"Madagascar","2005","Male","Not applicable","Percent","16.85347"
"Madagascar","2005","All genders","Not applicable","Percent","17.04339"
"Madagascar","2005","Female","Not applicable","Percent","17.23306"
"Malawi","2014","Male","Not applicable","Percent","33.29885"
"Malawi","2014","Female","Not applicable","Percent","32.58473"
"Malawi","2014","All genders","Not applicable","Percent","32.94229"
"Malawi","2013","All genders","Not applicable","Percent","32.02767"
"Malawi","2013","Female","Not applicable","Percent","31.08487"
"Malawi","2013","Male","Not applicable","Percent","32.96859"
"Malawi","2012","Male","Not applicable","Percent","30.74376"
"Malawi","2012","All genders","Not applicable","Percent","29.70547"
"Malawi","2012","Female","Not applicable","Percent","28.66616"
"Malawi","2011","Female","Not applicable","Percent","28.63949"
"Malawi","2011","All genders","Not applicable","Percent","29.29029"
"Malawi","2011","Male","Not applicable","Percent","29.94128"
"Malawi","2010","Male","Not applicable","Percent","28.88761"
"Malawi","2010","All genders","Not applicable","Percent","28.33103"
"Malawi","2010","Female","Not applicable","Percent","27.77544"
"Malawi","2009","Female","Not applicable","Percent","26.10674"
"Malawi","2009","All genders","Not applicable","Percent","26.97872"
"Malawi","2009","Male","Not applicable","Percent","27.85225"
"Malawi","2008","Male","Not applicable","Percent","27.73857"
"Malawi","2008","All genders","Not applicable","Percent","26.52119"
"Malawi","2008","Female","Not applicable","Percent","25.30771"
"Malawi","2007","Female","Not applicable","Percent","23.10253"
"Malawi","2007","All genders","Not applicable","Percent","24.41798"
"Malawi","2007","Male","Not applicable","Percent","25.73947"
"Malawi","2006","Male","Not applicable","Percent","25.28107"
"Malawi","2006","All genders","Not applicable","Percent","24.17854"
"Malawi","2006","Female","Not applicable","Percent","23.08265"
"Malawi","2005","Female","Not applicable","Percent","21.23541"
"Malawi","2005","All genders","Not applicable","Percent","22.81023"
"Malawi","2005","Male","Not applicable","Percent","24.39712"
"Malawi","2004","Male","Not applicable","Percent","25.42175"
"Malawi","2004","All genders","Not applicable","Percent","23.52058"
"Malawi","2004","Female","Not applicable","Percent","21.63634"
"Malawi","2002","All genders","Not applicable","Percent","25.80883"
"Malawi","2002","Male","Not applicable","Percent","28.52972"
"Malawi","2002","Female","Not applicable","Percent","23.11715"
"Malawi","2001","Female","Not applicable","Percent","23.95279"
"Malawi","2001","Male","Not applicable","Percent","29.56946"
"Malawi","2001","All genders","Not applicable","Percent","26.7459"
"Malawi","2000","All genders","Not applicable","Percent","29.62409"
"Malawi","2000","Male","Not applicable","Percent","34.10087"
"Malawi","2000","Female","Not applicable","Percent","25.19187"
"Malawi","1999","Female","Not applicable","Percent","25.19998"
"Malawi","1999","Male","Not applicable","Percent","32.33113"
"Malawi","1999","All genders","Not applicable","Percent","28.74926"
"Malawi","1998","All genders","Not applicable","Percent","26.00801"
"Malaysia","2014","All genders","Not applicable","Percent","69.09723"
"Malaysia","2013","All genders","Not applicable","Percent","68.73607"
"Malaysia","2012","All genders","Not applicable","Percent","68.82441"
"Malaysia","2011","All genders","Not applicable","Percent","66.27818"
"Malaysia","2010","All genders","Not applicable","Percent","66.35651"
"Malaysia","2009","All genders","Not applicable","Percent","65.11683"
"Malaysia","2008","All genders","Not applicable","Percent","65.73577"
"Malaysia","2007","All genders","Not applicable","Percent","65.88974"
"Malaysia","2006","All genders","Not applicable","Percent","67.73677"
"Malaysia","2005","All genders","Not applicable","Percent","68.38792"
"Malaysia","2004","All genders","Not applicable","Percent","71.72218"
"Malaysia","2003","All genders","Not applicable","Percent","70.90676"
"Malaysia","2002","All genders","Not applicable","Percent","65.79738"
"Malaysia","2001","All genders","Not applicable","Percent","65.6326"
"Malaysia","2000","All genders","Not applicable","Percent","65.99534"
"Malaysia","1999","All genders","Not applicable","Percent","66.06205"
"Malaysia","1998","All genders","Not applicable","Percent","66.49122"
"Maldives","2002","Male","Not applicable","Percent","44.77258"
"Maldives","2002","Female","Not applicable","Percent","51.11708"
"Maldives","2002","All genders","Not applicable","Percent","47.89879"
"Maldives","2000","All genders","Not applicable","Percent","36.86517"
"Maldives","2000","Female","Not applicable","Percent","39.63576"
"Maldives","2000","Male","Not applicable","Percent","34.1619"
"Maldives","1999","Male","Not applicable","Percent","27.46871"
"Maldives","1999","Female","Not applicable","Percent","31.16883"
"Maldives","1999","All genders","Not applicable","Percent","29.29607"
"Mali","2014","All genders","Not applicable","Percent","34.61612"
"Mali","2014","Female","Not applicable","Percent","29.80635"
"Mali","2014","Male","Not applicable","Percent","39.21837"
"Mali","2013","Male","Not applicable","Percent","36.28732"
"Mali","2013","Female","Not applicable","Percent","28.95347"
"Mali","2013","All genders","Not applicable","Percent","32.70159"
"Mali","2011","All genders","Not applicable","Percent","31.56313"
"Mali","2011","Female","Not applicable","Percent","26.00248"
"Mali","2011","Male","Not applicable","Percent","36.87583"
"Mali","2010","Male","Not applicable","Percent","35.60331"
"Mali","2010","Female","Not applicable","Percent","24.69288"
"Mali","2010","All genders","Not applicable","Percent","30.27297"
"Mali","2009","All genders","Not applicable","Percent","28.41036"
"Mali","2009","Female","Not applicable","Percent","22.51242"
"Mali","2009","Male","Not applicable","Percent","34.04394"
"Mali","2008","Male","Not applicable","Percent","32.8928"
"Mali","2008","Female","Not applicable","Percent","21.53751"
"Mali","2008","All genders","Not applicable","Percent","27.34532"
"Mali","1991","All genders","Not applicable","Percent","5.51798"
"Mali","1991","Female","Not applicable","Percent","4.00295"
"Mali","1991","Male","Not applicable","Percent","6.98704"
"Malta","2014","All genders","Not applicable","Percent","79.88234"
"Malta","2014","Male","Not applicable","Percent","84.65072"
"Malta","2014","Female","Not applicable","Percent","75.58352"
"Malta","2013","Female","Not applicable","Percent","74.98954"
"Malta","2013","Male","Not applicable","Percent","85.14955"
"Malta","2013","All genders","Not applicable","Percent","79.7943"
"Malta","2012","All genders","Not applicable","Percent","81.14008"
"Malta","2012","Male","Not applicable","Percent","86.84572"
"Malta","2012","Female","Not applicable","Percent","76.0446"
"Malta","2010","Female","Not applicable","Percent","73.61289"
"Malta","2010","Male","Not applicable","Percent","85.04571"
"Malta","2010","All genders","Not applicable","Percent","79.14548"
"Malta","2008","All genders","Not applicable","Percent","79.8132"
"Malta","2008","Male","Not applicable","Percent","79.05624"
"Malta","2008","Female","Not applicable","Percent","80.6097"
"Malta","2006","Female","Not applicable","Percent","90.3768"
"Malta","2006","Male","Not applicable","Percent","82.57346"
"Malta","2006","All genders","Not applicable","Percent","86.24522"
"Malta","2005","All genders","Not applicable","Percent","87.94062"
"Malta","2005","Male","Not applicable","Percent","84.26934"
"Malta","2005","Female","Not applicable","Percent","92.03583"
"Malta","2004","Female","Not applicable","Percent","92.25663"
"Malta","2004","Male","Not applicable","Percent","83.17379"
"Malta","2004","All genders","Not applicable","Percent","87.49053"
"Malta","2003","All genders","Not applicable","Percent","86.01434"
"Malta","2003","Male","Not applicable","Percent","83.83208"
"Malta","2003","Female","Not applicable","Percent","88.39562"
"Malta","2002","Female","Not applicable","Percent","83.32036"
"Malta","2002","Male","Not applicable","Percent","80.89525"
"Malta","2002","All genders","Not applicable","Percent","82.06281"
"Malta","2001","All genders","Not applicable","Percent","81.37712"
"Malta","2001","Male","Not applicable","Percent","81.14122"
"Malta","2001","Female","Not applicable","Percent","81.6274"
"Malta","2000","Female","Not applicable","Percent","83.5848"
"Malta","2000","Male","Not applicable","Percent","83.36836"
"Malta","2000","All genders","Not applicable","Percent","83.47338"
"Malta","1999","All genders","Not applicable","Percent","82.19382"
"Malta","1999","Male","Not applicable","Percent","82.88602"
"Malta","1999","Female","Not applicable","Percent","81.4595"
"Malta","1998","Female","Not applicable","Percent","83.01279"
"Malta","1998","Male","Not applicable","Percent","82.15721"
"Malta","1998","All genders","Not applicable","Percent","82.57239"
"Malta","1997","All genders","Not applicable","Percent","82.79449"
"Malta","1997","Male","Not applicable","Percent","82.09399"
"Malta","1997","Female","Not applicable","Percent","83.53731"
"Malta","1996","Female","Not applicable","Percent","84.22992"
"Malta","1996","Male","Not applicable","Percent","78.58177"
"Malta","1996","All genders","Not applicable","Percent","81.32313"
"Malta","1995","All genders","Not applicable","Percent","81.83722"
"Malta","1995","Male","Not applicable","Percent","82.37407"
"Malta","1995","Female","Not applicable","Percent","81.26839"
"Malta","1994","Female","Not applicable","Percent","78.36293"
"Malta","1994","Male","Not applicable","Percent","82.50729"
"Malta","1994","All genders","Not applicable","Percent","80.49398"
"Malta","1993","All genders","Not applicable","Percent","80.35383"
"Malta","1993","Female","Not applicable","Percent","79.21708"
"Malta","1993","Male","Not applicable","Percent","81.42878"
"Malta","1992","Male","Not applicable","Percent","81.45966"
"Malta","1992","Female","Not applicable","Percent","79.69963"
"Malta","1992","All genders","Not applicable","Percent","80.60377"
"Malta","1991","All genders","Not applicable","Percent","78.34555"
"Malta","1991","Male","Not applicable","Percent","79.06896"
"Malta","1991","Female","Not applicable","Percent","77.58178"
"Malta","1990","Female","Not applicable","Percent","78.04931"
"Malta","1990","Male","Not applicable","Percent","79.2961"
"Malta","1990","All genders","Not applicable","Percent","78.68947"
"Malta","1989","All genders","Not applicable","Percent","77.39424"
"Malta","1989","Male","Not applicable","Percent","77.89712"
"Malta","1989","Female","Not applicable","Percent","76.86368"
"Malta","1988","Female","Not applicable","Percent","76.81242"
"Malta","1988","Male","Not applicable","Percent","75.23095"
"Malta","1988","All genders","Not applicable","Percent","76.00067"
"Malta","1987","All genders","Not applicable","Percent","76.39773"
"Malta","1987","Male","Not applicable","Percent","75.60496"
"Malta","1987","Female","Not applicable","Percent","77.23294"
"Malta","1986","Female","Not applicable","Percent","79.0903"
"Malta","1986","All genders","Not applicable","Percent","77.94462"
"Malta","1986","Male","Not applicable","Percent","76.85539"
"Malta","1985","Male","Not applicable","Percent","78.91527"
"Malta","1985","All genders","Not applicable","Percent","79.83033"
"Malta","1985","Female","Not applicable","Percent","80.78928"
"Malta","1984","Female","Not applicable","Percent","77.29255"
"Malta","1984","All genders","Not applicable","Percent","79.52945"
"Malta","1984","Male","Not applicable","Percent","81.67174"
"Malta","1983","Male","Not applicable","Percent","78.8284"
"Malta","1983","All genders","Not applicable","Percent","77.06447"
"Malta","1983","Female","Not applicable","Percent","75.22794"
"Malta","1982","Female","Not applicable","Percent","70.84858"
"Malta","1982","All genders","Not applicable","Percent","73.89451"
"Malta","1982","Male","Not applicable","Percent","76.82413"
"Malta","1981","Male","Not applicable","Percent","70.99347"
"Malta","1981","All genders","Not applicable","Percent","68.09826"
"Malta","1981","Female","Not applicable","Percent","65.08613"
"Malta","1980","Female","Not applicable","Percent","67.74246"
"Malta","1980","All genders","Not applicable","Percent","69.93986"
"Malta","1980","Male","Not applicable","Percent","72.04628"
"Malta","1979","Male","Not applicable","Percent","68.79952"
"Malta","1979","All genders","Not applicable","Percent","65.52388"
"Malta","1979","Female","Not applicable","Percent","62.09719"
"Malta","1978","Female","Not applicable","Percent","63.39873"
"Malta","1978","All genders","Not applicable","Percent","66.34831"
"Malta","1978","Male","Not applicable","Percent","69.16046"
"Malta","1977","Male","Not applicable","Percent","69.9901"
"Malta","1977","All genders","Not applicable","Percent","66.97743"
"Malta","1977","Female","Not applicable","Percent","63.80813"
"Malta","1976","Female","Not applicable","Percent","66.28241"
"Malta","1976","All genders","Not applicable","Percent","68.2324"
"Malta","1976","Male","Not applicable","Percent","70.07986"
"Malta","1975","Male","Not applicable","Percent","65.82541"
"Malta","1975","All genders","Not applicable","Percent","64.33797"
"Malta","1975","Female","Not applicable","Percent","62.76776"
"Marshall Islands","2007","Male","Not applicable","Percent","61.3388"
"Marshall Islands","2007","All genders","Not applicable","Percent","63.00728"
"Marshall Islands","2007","Female","Not applicable","Percent","64.72868"
"Marshall Islands","2002","Female","Not applicable","Percent","64.45285"
"Marshall Islands","2002","All genders","Not applicable","Percent","62.65226"
"Marshall Islands","2002","Male","Not applicable","Percent","60.94833"
"Mauritania","2014","Male","Not applicable","Percent","24.04374"
"Mauritania","2014","Female","Not applicable","Percent","22.13333"
"Mauritania","2014","All genders","Not applicable","Percent","23.10232"
"Mauritania","2013","All genders","Not applicable","Percent","21.52202"
"Mauritania","2013","Female","Not applicable","Percent","19.94799"
"Mauritania","2013","Male","Not applicable","Percent","23.04989"
"Mauritania","2012","Male","Not applicable","Percent","23.41097"
"Mauritania","2012","Female","Not applicable","Percent","20.37321"
"Mauritania","2012","All genders","Not applicable","Percent","21.91567"
"Mauritania","2006","All genders","Not applicable","Percent","14.42482"
"Mauritania","2006","Female","Not applicable","Percent","13.52856"
"Mauritania","2006","Male","Not applicable","Percent","15.29026"
"Mauritania","2005","Male","Not applicable","Percent","15.19601"
"Mauritania","2005","Female","Not applicable","Percent","13.20168"
"Mauritania","2005","All genders","Not applicable","Percent","14.21593"
"Mauritania","2004","All genders","Not applicable","Percent","13.10665"
"Mauritania","2004","Female","Not applicable","Percent","11.94244"
"Mauritania","2004","Male","Not applicable","Percent","14.23239"
"Mauritania","2002","Female","Not applicable","Percent","12.0085"
"Mauritania","2002","All genders","Not applicable","Percent","13.75402"
"Mauritania","2002","Male","Not applicable","Percent","15.44336"
"Mauritania","2001","Male","Not applicable","Percent","15.1315"
"Mauritania","2001","All genders","Not applicable","Percent","13.71829"
"Mauritania","2001","Female","Not applicable","Percent","12.25849"
"Mauritius","2004","Female","Not applicable","Percent","79.76555"
"Mauritius","2004","Male","Not applicable","Percent","78.98569"
"Mauritius","2004","All genders","Not applicable","Percent","79.37135"
"Mauritius","2002","All genders","Not applicable","Percent","73.47958"
"Mauritius","2002","Male","Not applicable","Percent","72.9608"
"Mauritius","2002","Female","Not applicable","Percent","74.00979"
"Mauritius","2001","Female","Not applicable","Percent","69.91423"
"Mauritius","2001","Male","Not applicable","Percent","70.90453"
"Mauritius","2001","All genders","Not applicable","Percent","70.41519"
"Mauritius","2000","All genders","Not applicable","Percent","68.24067"
"Mauritius","2000","Male","Not applicable","Percent","68.85635"
"Mauritius","2000","Female","Not applicable","Percent","67.60867"
"Mauritius","1999","Female","Not applicable","Percent","66.51476"
"Mauritius","1999","Male","Not applicable","Percent","66.35529"
"Mauritius","1999","All genders","Not applicable","Percent","66.43395"
"Mauritius","1998","All genders","Not applicable","Percent","64.42642"
"Mauritius","1998","Male","Not applicable","Percent","63.5868"
"Mauritius","1998","Female","Not applicable","Percent","65.28922"
"Mauritius","1982","Female","Not applicable","Percent","40.12952"
"Mauritius","1982","Male","Not applicable","Percent","42.57426"
"Mauritius","1982","All genders","Not applicable","Percent","41.36544"
"Mauritius","1981","All genders","Not applicable","Percent","42.1666"
"Mauritius","1981","Male","Not applicable","Percent","42.97223"
"Mauritius","1981","Female","Not applicable","Percent","41.33971"
"MDG_Caribbean","2014","Female","Not applicable","Percent","60.5666286473428"
"MDG_Caribbean","2014","All genders","Not applicable","Percent","58.6262946221363"
"MDG_Caribbean","2014","Male","Not applicable","Percent","56.7596089191942"
"MDG_Caribbean","2013","All genders","Not applicable","Percent","57.3834916139379"
"MDG_Caribbean","2013","Female","Not applicable","Percent","59.3340811731057"
"MDG_Caribbean","2013","Male","Not applicable","Percent","55.5073410130621"
"MDG_Caribbean","2012","Male","Not applicable","Percent","55.0169594860029"
"MDG_Caribbean","2012","Female","Not applicable","Percent","58.9569569891004"
"MDG_Caribbean","2012","All genders","Not applicable","Percent","56.9488318942062"
"MDG_Caribbean","2011","All genders","Not applicable","Percent","57.3758783535623"
"MDG_Caribbean","2011","Female","Not applicable","Percent","59.2419422938792"
"MDG_Caribbean","2011","Male","Not applicable","Percent","55.5802642438991"
"MDG_Caribbean","2010","Male","Not applicable","Percent","56.2121368001203"
"MDG_Caribbean","2010","Female","Not applicable","Percent","59.7878863402533"
"MDG_Caribbean","2010","All genders","Not applicable","Percent","57.9660732270992"
"MDG_Caribbean","2009","All genders","Not applicable","Percent","58.084444931118"
"MDG_Caribbean","2009","Female","Not applicable","Percent","59.945355724023"
"MDG_Caribbean","2009","Male","Not applicable","Percent","56.2919239708904"
"MDG_Caribbean","2008","Male","Not applicable","Percent","55.5393293185093"
"MDG_Caribbean","2008","Female","Not applicable","Percent","60.2106583990223"
"MDG_Caribbean","2008","All genders","Not applicable","Percent","57.8327963295088"
"MDG_Caribbean","2007","All genders","Not applicable","Percent","58.6887234374683"
"MDG_Caribbean","2007","Female","Not applicable","Percent","61.2312406616767"
"MDG_Caribbean","2007","Male","Not applicable","Percent","56.2340528966046"
"MDG_Caribbean","2006","Male","Not applicable","Percent","55.550765432853"
"MDG_Caribbean","2006","Female","Not applicable","Percent","60.376118667467"
"MDG_Caribbean","2006","All genders","Not applicable","Percent","57.92261831839"
"MDG_Caribbean","2005","All genders","Not applicable","Percent","56.8480860043294"
"MDG_Caribbean","2005","Female","Not applicable","Percent","59.1230092287437"
"MDG_Caribbean","2005","Male","Not applicable","Percent","54.6453404483133"
"MDG_Caribbean","2004","Male","Not applicable","Percent","53.5243235410473"
"MDG_Caribbean","2004","All genders","Not applicable","Percent","55.3954933763952"
"MDG_Caribbean","2004","Female","Not applicable","Percent","57.3235278187898"
"MDG_Caribbean","2003","Female","Not applicable","Percent","56.4927598695691"
"MDG_Caribbean","2003","All genders","Not applicable","Percent","54.7274476431325"
"MDG_Caribbean","2003","Male","Not applicable","Percent","53.0094852253289"
"MDG_Caribbean","2002","All genders","Not applicable","Percent","53.7290994941402"
"MDG_Caribbean","2002","Female","Not applicable","Percent","55.6906194510234"
"MDG_Caribbean","2002","Male","Not applicable","Percent","51.8152638532182"
"MDG_Caribbean","2001","Male","Not applicable","Percent","49.6225520958383"
"MDG_Caribbean","2001","Female","Not applicable","Percent","53.7822796938136"
"MDG_Caribbean","2001","All genders","Not applicable","Percent","51.6791015738416"
"MDG_Caribbean","2000","All genders","Not applicable","Percent","49.8151387916344"
"MDG_Caribbean","2000","Female","Not applicable","Percent","51.6518664213634"
"MDG_Caribbean","2000","Male","Not applicable","Percent","48.016446289864"
"MDG_Caribbean","1999","Male","Not applicable","Percent","46.4327406601452"
"MDG_Caribbean","1999","Female","Not applicable","Percent","50.9746110750271"
"MDG_Caribbean","1999","All genders","Not applicable","Percent","48.681598143288"
"MDG_Caribbean","1998","All genders","Not applicable","Percent","47.5811536067007"
"MDG_Caribbean","1998","Female","Not applicable","Percent","49.8805765718481"
"MDG_Caribbean","1998","Male","Not applicable","Percent","45.3280965571974"
"MDG_Caribbean","1997","Male","Not applicable","Percent","45.8050627912751"
"MDG_Caribbean","1997","Female","Not applicable","Percent","50.3946291637954"
"MDG_Caribbean","1997","All genders","Not applicable","Percent","48.0746140276711"
"MDG_Caribbean","1996","All genders","Not applicable","Percent","46.5871979691502"
"MDG_Caribbean","1996","Female","Not applicable","Percent","48.8654816442293"
"MDG_Caribbean","1996","Male","Not applicable","Percent","44.3614163183375"
"MDG_Caribbean","1995","Male","Not applicable","Percent","42.3202704392253"
"MDG_Caribbean","1995","All genders","Not applicable","Percent","44.4643611987029"
"MDG_Caribbean","1995","Female","Not applicable","Percent","46.6588221823912"
"MDG_Caribbean","1994","Female","Not applicable","Percent","46.3846825002715"
"MDG_Caribbean","1994","All genders","Not applicable","Percent","44.1687596262485"
"MDG_Caribbean","1994","Male","Not applicable","Percent","42.0047302526958"
"MDG_Caribbean","1993","Male","Not applicable","Percent","43.1244039533984"
"MDG_Caribbean","1993","All genders","Not applicable","Percent","45.4838787579663"
"MDG_Caribbean","1993","Female","Not applicable","Percent","47.8990165825442"
"MDG_Caribbean","1992","Female","Not applicable","Percent","49.5939309943715"
"MDG_Caribbean","1992","All genders","Not applicable","Percent","46.9459567902876"
"MDG_Caribbean","1992","Male","Not applicable","Percent","44.3591381070467"
"MDG_Caribbean","1991","Male","Not applicable","Percent","45.8141449821947"
"MDG_Caribbean","1991","All genders","Not applicable","Percent","48.340882727136"
"MDG_Caribbean","1991","Female","Not applicable","Percent","50.9299130507529"
"MDG_Caribbean","1990","Female","Not applicable","Percent","50.8638273174385"
"MDG_Caribbean","1990","All genders","Not applicable","Percent","48.899532269417"
"MDG_Caribbean","1990","Male","Not applicable","Percent","46.9871530873039"
"MDG_Caribbean","1989","Male","Not applicable","Percent","46.8559023776545"
"MDG_Caribbean","1989","All genders","Not applicable","Percent","49.3053452428258"
"MDG_Caribbean","1989","Female","Not applicable","Percent","51.8144272833675"
"MDG_Caribbean","1988","Female","Not applicable","Percent","51.7333996062789"
"MDG_Caribbean","1988","All genders","Not applicable","Percent","49.4417088124383"
"MDG_Caribbean","1988","Male","Not applicable","Percent","47.2060995786676"
"MDG_Caribbean","1987","Male","Not applicable","Percent","46.9900695853438"
"MDG_Caribbean","1987","All genders","Not applicable","Percent","49.223011326809"
"MDG_Caribbean","1987","Female","Not applicable","Percent","51.512491626509"
"MDG_Caribbean","1986","Female","Not applicable","Percent","52.0240432516723"
"MDG_Caribbean","1986","Male","Not applicable","Percent","46.9222852018731"
"MDG_Caribbean","1986","All genders","Not applicable","Percent","49.4414693429382"
